page,post
https://naked-science.ru/,"Жюри Британского экологического общества подвело итоги ежегодного фотоконкурса, посвященного демонстрации красоты и сложности природы."
https://naked-science.ru/,"Воздушное пространство над Импхалом (столица штата Манипур) 19 ноября временно закрыли, а все полеты в международном аэропорту Бир Тикендраджит остановили более чем на три часа. Дело в том, что командование ВВС поднимало в воздух истребители после того, как над авиагаванью заметили неопознанный летающий объект."
https://naked-science.ru/,"Ученым до конца не ясно, как у китообразных появился «встроенный сонар», позволяющий им ориентироваться и охоться в темноте под водой. Новое исследование раскрыло ранее неизвестные детали о развитии этой способности у предков зубатых китов и дельфинов."
https://naked-science.ru/,"Камеры, направленные на чердак церкви Святого Матьяша в деревне Кастенрей в Нидерландах, застали летучих мышей в процессе спаривания, который озадачил ученых. В одном из случаев совокупление продолжалось почти 13 часов."
https://naked-science.ru/,Астрофизики рассказали о первых результатах анализа химического состава далеких галактик по данным космического телескопа «Джеймс Уэбб». Галактики-«подростки» оказались необычайно горячими и со следами газообразного никеля.
https://naked-science.ru/,"Британские ученые выяснили, что предки крокодилов появились в Северной Америке около 145 миллионов лет назад, а потом распространились по миру благодаря одной важной адаптации."
https://naked-science.ru/,"В Новой Зеландии недавно завершилось голосование на звание «Птицы века». В конкурсе победилаавстралазийская хохлатая поганка, набравшая более 290 тысяч голосов."
https://naked-science.ru/,"Астрономы из Университета Лидса показали, что окруженные дисками Be-звезды, вероятно, образуются не в двойных системах, как считалось ранее, а в тройных. Эти звезды-«вампиры» забирают материю у соседей и раскручиваются, приобретая таким образом свои определяющие характеристики."
https://naked-science.ru/,"На столичных улицах скоро появится беспилотная уборочная техника, а самосвал с автономным управлением уже испытывают на карьерах Кузбасса. Сколько уровней «продвинутости» у беспилотников, в каких отраслях они появятся раньше, существует ли для них законодательная база и кто безопаснее — автопилот или человек? На эти вопросы ответили ученые Пермского Политеха."
https://naked-science.ru/,"Спутниковые данные показали, что скорость фотосинтеза растений увеличивалась, когда уровень аэрозолей в атмосфере снижался. Это наблюдалось только два дня в неделю на территории Европы. "
https://naked-science.ru/,"Единственной и главной причины развития рака молочных желез никто не знает. В список факторов обычно включают наличие гена BRCA1, отсутствие беременности и родов, позднюю менопаузу, травмы и вредные привычки. Теперь список пополнился окружающей средой. Особенно — городской.
"
https://naked-science.ru/,"Физики из МФТИ и Физического института имени П. Н. Лебедева представили новую схему для производства микроскопических приборов в виде комбинации асферической микролинзы и массива микролинз, полученных методом двухфотонной литографии. Полученные результаты имеют широкий спектр применения в производстве сложных оптических устройств, оптимизированных микрообъективов для высокоточного измерения кривизны волнового фронта и изготовления преломляющих рентгеновских линз."
https://naked-science.ru/,"Два года назад NASA выбрало компанию SpaceX поставщиком системы высадки людей на Луну: она должна доставить астронавтов миссии «Артемида III»с корабля «Орион» на орбите на поверхность естественного спутника Земли и обратно. Впоследствии условия контракта расширили, включив туда миссию «Артемида IV»."
https://naked-science.ru/,"Исследователи из Швейцарии экспериментально обнаружили, что новый материал приобретает магнитные свойства с помощью механизма, который ранее не наблюдался. "
https://naked-science.ru/,"Поток результатов космической обсерватории «Джеймс Уэбб» все больше озадачивает ученых. Телескоп фиксирует множество древних массивных галактик, которых, по современным представлениям, вообще не должно существовать. Горячие головы уже заговорили чуть ли не об отмене Большого взрыва. Naked Science объясняет, что на самом деле происходит с наукой об истории космоса."
https://naked-science.ru/,"Британские ученые выяснили, что предки крокодилов появились в Северной Америке около 145 миллионов лет назад, а потом распространились по миру благодаря одной важной адаптации."
https://naked-science.ru/,"Чувство вкуса необходимо животным, чтобы найти нужную пищу и избежать опасной — она зачастую имеет горький вкус. Новое исследование посвящено тому, когда появилась способность его различать. Ученые проанализировали геномы хрящевых рыб (акул и скатов). Оказалось, что реагирующие на горькое рецепторы имелись уже у общих предков хрящевых и людей, которые жили примерно 460 миллионов лет назад."
https://naked-science.ru/,"Камеры, направленные на чердак церкви Святого Матьяша в деревне Кастенрей в Нидерландах, застали летучих мышей в процессе спаривания, который озадачил ученых. В одном из случаев совокупление продолжалось почти 13 часов."
https://naked-science.ru/,"Формально вторая ступень Starship даже попала в космос — правда, взорвалась почти сразу после этого. Ключевой задачей пуска считалось успешное разделение первой и второй ступеней, поскольку оно осуществлялось за счет «королёвского» принципа, до Илона Маска не применявшегося на современных американских ракетах. Несмотря на то что эту задачу выполнили, вскоре после разделения была потеряна сперва первая, а затем и вторая ступень."
https://naked-science.ru/,"Американская писательница Лорен Остер в Smithsonian Magazine рассказывает, как предприниматели ищут полезные применения уловленному из атмосферы углероду, вместо того чтобы «закапывать» его в землю. Naked Science приводит перевод этой статьи. "
https://naked-science.ru/,"Ученые из Лаборатории языковых, межкультурных и творческих компетенций НИУ ВШЭ исследовали то, как личностные черты «Большой пятерки» связаны с развитием креативности у людей, говорящих на нескольких языках и имеющих межкультурный опыт. Выяснилось, что изучение языков и других культур может сделать человека более творческим и компенсировать нехватку коммуникативных качеств. Кроме того, языковые практики развивают творческие способности только у людей психически устойчивых."
https://naked-science.ru/,"Статины — препараты для снижения уровня холестерина в крови — одни из самых назначаемых в мире. Новое исследование показало, что, помимо прямого предназначения — профилактики и лечения сердечно-сосудистых болезней, лекарства этой группы влияют на смертность от рака молочной железы."
https://naked-science.ru/,"Ученые впервые проанализировали последовательность генома борщевика Сосновского — ядовитого инвазивного растения, сок которого при попадании на кожу вызывает ожоги. Оказалось, что количество генов в геноме этого вида практически в два раза превышает среднее для большинства других растений значение. Работа авторов может найти практическое применение в медицине и фармакологии, поскольку уникальные биоактивные молекулы борщевика Сосновского могут использоваться в разработке новых лекарств."
https://naked-science.ru/,"Астрономы из Университета Лидса показали, что окруженные дисками Be-звезды, вероятно, образуются не в двойных системах, как считалось ранее, а в тройных. Эти звезды-«вампиры» забирают материю у соседей и раскручиваются, приобретая таким образом свои определяющие характеристики."
https://naked-science.ru/,"У некоторых людей после одного-двух бокалов красного вина начинает болеть голова, хотя от другого алкоголя такого эффекта не бывает. Предполагалось, что виноват высокий уровеньфенольных соединений в красном вине, но как именно срабатывает этот механизм, оставалось неясно. Теперь ученые приблизились к ответу, почему красное вино может вызывать головную боль."
https://naked-science.ru/,"В попытках найти причины развития деменции ученые продолжают изучать влияние инфекций на мозг. Согласно новому исследованию, герпесная инфекция в области половых органов может способствовать ускорению старения мозга, что, возможно, приводит к повышенной уязвимости к когнитивным нарушениям и нейродегенеративным заболеваниям."
https://naked-science.ru/,"Стало известно, почему при взрыве гремучего золота — взрывчатого вещества — появляется эффектный пурпурный дым. Эта тайна волновала умы ученых с XVI века. "
https://naked-science.ru/,"С помощью набора данных, полученных телескопом «Джеймс Уэбб», группа астрономов из Бельгии смогла «заглянуть» вглубь газового гиганта WASP-107b и обнаружила в его атмосфере химический элемент, которого, по всем расчетам, там быть не должно."
https://naked-science.ru/,"Стартовое окно откроется в 16:00 по московскому времени. У компании Илона Маска будет 20 минут на то, чтобы запустить
сверхтяжелую транспортную систему, состоящую из первой ступени Super Heavy и космического корабля Starship."
https://naked-science.ru/,"Спутниковые данные показали, что скорость фотосинтеза растений увеличивалась, когда уровень аэрозолей в атмосфере снижался. Это наблюдалось только два дня в неделю на территории Европы. "
https://naked-science.ru/,"Физики из МФТИ и Физического института имени П. Н. Лебедева представили новую схему для производства микроскопических приборов в виде комбинации асферической микролинзы и массива микролинз, полученных методом двухфотонной литографии. Полученные результаты имеют широкий спектр применения в производстве сложных оптических устройств, оптимизированных микрообъективов для высокоточного измерения кривизны волнового фронта и изготовления преломляющих рентгеновских линз."
https://naked-science.ru/,Астрофизики рассказали о первых результатах анализа химического состава далеких галактик по данным космического телескопа «Джеймс Уэбб». Галактики-«подростки» оказались необычайно горячими и со следами газообразного никеля.
https://naked-science.ru/,"Бразильские астрономы открыли необычный источник излучения, который вызывает изменчивость окружающей его туманности каждые четыре года. Природу этого объекта пока невозможно объяснить. "
https://naked-science.ru/,"Парниковый эффект от американского природного газа, поставляемого в Старый Свет, неожиданно оказался выше, чем от сжигания местного угля. И намного выше, чем от российского газа."
https://naked-science.ru/,"Известно всего несколько примеров злокачественных опухолей, которые ведут себя подобно инфекции — передаются другим организмам. Среди них — трансмиссивный рак двустворчатых моллюсков BTN. Авторы новой статьи описали географические и экологические аспекты распространения BTN среди мидий в Баренцевом море, оценили число больных моллюсков и узнали, как расселение «заразного рака» связано с Северным морским путем."
https://naked-science.ru/,"Первый полет Ил-96-400М с новой — и полностью российской — авионикой преподносят как большой успех. «Это демонстрация высочайшего уровня компетенций отечественных КБ и авиазаводов», — не скупится на похвалы министр Денис Мантуров. Но есть и иная точка зрения: первый полет Ил-96 был еще в 1988 году. И для сегодняшнего дня он подходит не сильно больше, чем типичный автомобиль той же эпохи. Российские пилоты не скрывают: экономически такой самолет будет тяжелым ядром на ноге той авиакомпании, что его купит. Но значит ли это, что он не нужен? И что вообще будет с широкофюзеляжными авиалайнерами в нашей стране?"
https://naked-science.ru/,"Новая турбина работает на углекислом газе вместо традиционного пара. За счет этого она получает больше энергии из того же объема топлива, а по размерам равна обычному офисному столу."
https://naked-science.ru/,"Представители рода мицена — это сапротрофные грибы, которые живут за счет разлагающейся органики. Однако некоторые из них научились проникать в живые ткани растений — ученые называют это начальным этапом взаимовыгодного симбиоза и винят в таком переходе людей."
https://naked-science.ru/,"Поток результатов космической обсерватории «Джеймс Уэбб» все больше озадачивает ученых. Телескоп фиксирует множество древних массивных галактик, которых, по современным представлениям, вообще не должно существовать. Горячие головы уже заговорили чуть ли не об отмене Большого взрыва. Naked Science объясняет, что на самом деле происходит с наукой об истории космоса."
https://naked-science.ru/,"Исследователи из Швейцарии экспериментально обнаружили, что новый материал приобретает магнитные свойства с помощью механизма, который ранее не наблюдался. "
https://naked-science.ru/,"Хромосомы представителей семейства кошачьих меняются гораздо медленнее, чем у прочих млекопитающих. Авторы нового исследования решили выяснить причины этого, проанализировав ДНК нескольких видов. Они также узнали об особой эволюционной «горячей точке» на половой хромосоме кошек и почему львы различают феромоны хуже, чем тигры."
https://naked-science.ru/,"Из-за разреженной атмосферы и низких температур продуваемые ветром вершины вулканов в Андах на севере Аргентины и Чили напоминают поверхность Марса. Считалось, что в столь экстремальных условиях на высоте более 6000 метров над уровнем моря жизнь млекопитающих невозможна. Однако неожиданные находки на пустынном высокогорном плато Пуна-де-Атакама поставили этот тезис под сомнение."
https://naked-science.ru/,"Китайские исследователи создали полноценную макаку с помощью стволовых клеток и эмбриона другой особи того же вида. Это первый в мире химерный примат с большой долей чужеродных клеток, полученный путем живорождения."
https://naked-science.ru/,"Вопрос, есть ли у морских звезд голова и какую часть их тела можно ею назвать, занимал любителей природы и профессиональных ученых не одно столетие. Теперь на него появился ответ — благодаря новому исследованию американских и британских биологов."
https://naked-science.ru/,"Психологи со ссылкой на многочисленные исследования говорят, что нахождение в одиночестве и чувство одиночества никак не связаны. Каждый человек может чувствовать себя одиноко даже в окружении людей, и это нормально. Теперь ученые это подтвердили, но заметили интересную деталь: многое зависит от возраста."
https://naked-science.ru/,"Большинство растений фототропны — то есть растут в направлении источника света. Предполагалось, что свойство подсолнухов разворачиваться вслед за солнцем связано с тем же базовым механизмом. Однако американские биологи установили, что за этим, видимо, стоит сразу несколько типов фотореакций."
https://naked-science.ru/,"Прошлые исследования показали, что хозяева кошек склонны испытывать меньшую привязанность к своим питомцам по сравнению с владельцами собак. Однако зачастую эти выводы делали на основе не слишком репрезентативных выборок и опросов только в одной стране. Тщательнее разобраться в теме взялась международная команда ученых во главе с профессором биоэтики Питером Сандё (Peter Sandøe) из Копенгагенского университета (Дания)."
https://naked-science.ru/,"Впервые в одной научной работе все этапы получения и анализа древней ДНК выполнили полностью в России. Исследование показало, что Рюриковичи действительно имеют единое и древнее происхождение, а лишь часть этого рода — потомки супружеской измены."
https://naked-science.ru/,"Авторы новой работы предположили, что несколько экзопланет в Млечном Пути образовали континенты и развили жизнь на миллиарды лет раньше, чем Земля. Значит, есть вероятность, что там могут обитать инопланетные виды — гораздо более развитые, чем наш собственный."
https://naked-science.ru/,"Ученые из Японии показали, что употребление васаби улучшает как кратковременную, так и долговременную память. По крайней мере, у пожилых людей, ведь именно они приняли участие в исследовании."
https://naked-science.ru/,"Используя снимки, присланные марсоходом NASA Curiosity, а также компьютерные программы для моделирования эрозии на Марсе и машинное обучение, группа ученых из США заключила, что пересохшие русла рек должны находиться в большей части марсианских кратеров. Таким образом, заявили авторы нового исследования, в далеком прошлом поверхность Красной планеты могла быть «усеяна» реками, то есть там их было гораздо больше, чем предполагали ранее."
https://naked-science.ru/,"Ученые доказали, что одна из ярчайших гамма-вспышек в истории наблюдений, произошедшая в октябре 2022 года, повлияла как на нижнюю, так и на верхнюю часть ионосферы Земли — оболочки, защищающей нас от космического излучения."
https://naked-science.ru/,"В новом исследовании проверяли связь между атрофией мозга и продолжительностью сна. Этот показатель выбрали потому, что люди могут легко контролировать то, сколько они спят. В итоге ученые выяснили, что несоответствие общепринятым рекомендациям вовсе не приводит к плохим результатам."
https://nplus1.ru/,Очковые пингвины узнали партнера по точкам на теле
https://newatlas.com/,"Managing diabetes usually involves regular shots, but soon patients might only need injections a few times a year. Stanford has developed a hydrogel-based delivery system that slowly releases drugs over months to control diabetes and even weight."
https://nplus1.ru/,Чомга стала птицей столетия в Новой Зеландии
https://nplus1.ru/,Межпланетная станция JUICE совершила крупнейший маневр коррекции траектории
https://nplus1.ru/,Пятая часть осетрины и черной икры из стран в нижнем течении Дуная оказались браконьерскими
https://nplus1.ru/,«Джеймс Уэбб» рассмотрел область звездообразования вблизи сверхмассивной черной дыры в центре Млечного Пути
https://nplus1.ru/,Полуприцеп с электроприводом повысил топливную эффективность фуры на 36 процентов
https://nplus1.ru/,Недорогие старые препараты предотвратили мигрень не хуже дорогих новых
https://nplus1.ru/,Движения людей выдали их намерение найти информацию
https://nplus1.ru/,Доступность термитов для шимпанзе долины Исса связали с сезонностью и расселением
https://nplus1.ru/,Сарматский церемониальный кинжал украсили в ханьской традиции
https://nplus1.ru/,В Бурятии нашли бронзовую печать с хуннской тамгой
https://nplus1.ru/,Кожаны использовали пенис вместо руки и оплодотворили самок без проникновения
https://nplus1.ru/,Земля впервые прогрелась на два градуса выше доиндустриального уровня
https://nplus1.ru/,Добровольцы помогли отыскать активную квази-Хильду
https://nplus1.ru/,Достучаться до дна
https://nplus1.ru/,Симулятор батискафа в Марианской впадине
https://nplus1.ru/,Дымит разлом
https://nplus1.ru/,Как устроена физика Quantum Break
https://nplus1.ru/,Окаменевшие следы птиц из Австралии оказались древнейшими на суперконтиненте Гондвана
https://nplus1.ru/,«Джеймс Уэбб» нашел на супернептуне диоксид серы и силикатные облака
https://nplus1.ru/,Строгая методология повысила воспроизводимость социально-поведенческих исследований до 86 процентов
https://nplus1.ru/,Любовь или симбиоз
https://nplus1.ru/,Отличите природную зависимость от сюжета фильма или книги
https://nplus1.ru/,Starship сделал «горячее» разделение ступеней. Но все равно взорвался
https://nplus1.ru/,Starship снова взлетел
https://nplus1.ru/,Какой ты Homo
https://nplus1.ru/,Личностный тест о наших с вами предках
https://nplus1.ru/,«Картинки в голове: И другие рассказы о моей жизни с аутизмом»
https://nplus1.ru/,Как лекарства облегчают жизнь людям с РАС
https://nplus1.ru/,Бонобо посотрудничали с сородичами из соседней группы
https://nplus1.ru/,Гигантские ашельские рубила оказались хорошими лопатами
https://nplus1.ru/,В Китае обнаружили древнейшие украшения из березового дегтя
https://nplus1.ru/,Археологические памятники России
https://nplus1.ru/,"Тест о сокровищах, открытых в нашей земле"
https://nplus1.ru/,Зараженные грибком муравьи полечились перекисью водорода из тлей
https://nplus1.ru/,В мумиях культуры чинчорро нашли следы отравления марганцем
https://nplus1.ru/,"Эй, AI"
https://newatlas.com/,"When it comes to electric vehicles, there's definitely a gap between small, simple ebikes and larger, costlier electric cars. The new-and-improved Veemo velomobile is intended to firmly fill that niche – and I recently got to try it out for myself."
https://newatlas.com/,"After five days of turmoil at OpenAI following the firing of CEO Sam Altman, and much support from investors and employees, the company has confirmed that he is returning as Chief Executive, together with a board reshuffle."
https://newatlas.com/,"Singapore company Fourier Intelligence has released a video showing at least a dozen of its GR-1 humanoids, set for customer delivery this year. But while the GR-1 might have the best hips in robotics, it ain't gonna win any rug-cutting contests."
https://newatlas.com/,"In 2017, scientists discovered a new species of giant rat that can reportedly crack open coconuts. Now, this extremely rare creature has been captured in the wild on camera for the first time."
https://newatlas.com/,"Caffeic acid, derived from coffee grounds, could help shield the brain from developing diseases such as Alzheimer's and Parkinson's. With six million tons of grounds dumped each year, this could be the most valuable 'upcycling' of the by-product yet."
https://newatlas.com/,Researchers have developed an automated platform that they've used to screen thousands of drugs and identify those that can be used to interrupt the spread of melanoma. The approach could help identify promising drugs to treat metastatic cancers.
https://newatlas.com/,"Cybersecurity is a growing concern as more critical infrastructure can be exposed to hacks. Now Australian engineers have developed and demonstrated a new technique called “ineffable cryptography,” which treats keys like the Coca-Cola secret formula."
https://newatlas.com/,"The portable Nix Mini 2 Color Sensor seamlessly blends precision with versatility, instantly matching scans to over 100,000 brand-name paint colors, adapting to the needs of design pros, photographers, and DIYers alike, during our Black Friday Sale."
https://newatlas.com/,"As the wild standoff between three of OpenAI's four board members and 95% of the company's entire workforce drags on, messy allegations are starting to fly in both directions. So who are these directors, and why did they fire CEO Sam Altman?"
https://newatlas.com/,"A research review has found that eating at least two handfuls of nuts a day may improve sperm quality – and, therefore, fertility – in young, healthy males. This simple strategy had positive effects without requiring any other changes to diet."
https://newatlas.com/,Up to four million Americans may be enduring this common ailment right now. But what if a microbe found in the gut could relieve it and restore gut health? Scientists believe they've found the genetic key that powers this microbe's motility engines.
https://newatlas.com/,"Goose Gear has long been offering interior camper equipment for popular off-roaders like the Toyota 4Runner. This year, it's slimmed its in-vehicle camping hardware into a weekend-warrior friendly DIY kit that makes micro-campers out of popular CUVs. "
https://nplus1.ru/,Пять причин посетить онлайн-конференцию AI Journey 2023
https://nplus1.ru/,«История усталости от Средневековья до наших дней»
https://nplus1.ru/,Как люди XVIII века укрепляли организм
https://nplus1.ru/,Нагрев атмосферы экзопланетным ядром объяснил молодость горячих субнептунов
https://nplus1.ru/,Голубые ара вывели птенцов в дикой природе впервые за 37 лет
https://nplus1.ru/,Астрономы засняли летающую вокруг Земли сумку с инструментами
https://nplus1.ru/,Строить и жить помогает
https://nplus1.ru/,"Угадайте, какую работу выполняли под эти песни"
https://nplus1.ru/,Trace Gas Orbiter впервые увидел ночное свечение кислорода в марсианской атмосфере
https://nplus1.ru/,Аэротакси Joby впервые полетало над городом
https://nplus1.ru/,На клеточном уровне
https://nplus1.ru/,Познакомьтесь с компонентами клетки за умной беседой
https://nplus1.ru/,«Неоконченная симфония Дарвина: Как культура формировала человеческий разум»
https://nplus1.ru/,Почему для нас важно подражать другим
https://nplus1.ru/,В Испании нашли 25 неандертальских костяных ретушеров
https://nplus1.ru/,Пол 35 людей эпохи неолита определили по белкам зубной эмали
https://nplus1.ru/,В мозге совершивших суицид нашли признаки воспаления
https://nplus1.ru/,Вы укушены. Часть вторая
https://nplus1.ru/,Тест о коварной фауне Средней полосы
https://nplus1.ru/,Великобритания первой в мире разрешила терапию на основе CRISPR
https://nplus1.ru/,Премию «Просветитель» присудили за книги об изменении климата и теневой экономике в СССР
https://nplus1.ru/,Вы укушены. Часть третья
https://nplus1.ru/,Тест о коварной фауне Дальнего Востока
https://nplus1.ru/,«Откуда берутся дети? Краткий путеводитель по переходу из лагеря чайлдфри к тихим радостям семейственности»
https://nplus1.ru/,Как во время беременности работает иммунитет
https://nplus1.ru/,Количество смертей из-за жары к середине века вырастет почти в пять раз
https://nplus1.ru/,Редактирование оснований ДНК впервые помогло пациентам с семейной гиперхолестеринемией
https://nplus1.ru/,Астрономы отыскали космического «Тасманийского дьявола»
https://nplus1.ru/,Всемирный обман мышления
https://nplus1.ru/,Как когнитивные искажения управляют нами
